  ,Input,Class_I,Output,Class_O
25,"We need to submit this project by next week, can or not?",Sgp,"We gotta hand in this project by next week, can we or can't we?",Aus
26,"He drives so fast, quite scary sometimes.",Sgp,"He drives so fast, it's quite frightening at times only.",Ind
27,"Very sad actually, because I'm in the age pool where some people for some reason, have to go to the hospital",Sgp,"Really upsetting, yaar, because I'm in that age group where, for some reason, some people have to rush to the hospital.",Ind
28,"She so garang, speaking up during meetings.",Sgp,"She's so assertive, speaking up during meetings.",Brt
29,"I think he like sotong, go all the way there for nothing.",Sgp,"I reckon he likes squid, went all that way for no reason.",Brt
30,"We are having some mates over for a barbie sarvo, you should come!",Aus,"We're having a few friends over for a barbecue this afternoon, you should come along!",Irs
31,He's a few roo's loose in the top paddock,Aus,He's a few sandwiches short of a picnic.,Irs
32,"I'm muzzed after that afterparty, it was a ripper of a party",Aus,"I'm dof after that afterparty, it was a jol of a party.",Saf
33,"Accadaccas is something the Aussie feel proud of ,since it’s a rock band that has its origins in Australia",Aus,"Acca Dacca is something the Aussies take pride in, because it's a rock band that started off in Australia.",Saf
34,"It's Friday, usually a g'day to be on the piss with mates",Aus,"It's Friday, normally a solid day to lim kopi with kakis.",Sgp
35,"It’s the chrissie pressie, the best thing to open on a Sunday",Aus,"It’s the Christmas present lah, the best thing to open on a Sunday one.",Sgp
36,Can yo spare a few bucks? Need it to exit the parking.,Aus,Can you give a few rupees? Need it to get out of the car park.,Ind
37,"nah yeah, lets get on this boat and have fun",Aus,"Arre yaar, let's get on this boat and have some fun na.",Ind
38,"Lets get a burger at maccas, might put a smile on the kids face",Aus,"Let's get a burger at Maccy D's, might put a smile on the kid's face.",Brt
39,"Tim is a bludger, he always tries to sneak his way out of difficult situations",Aus,"Tim is a skiver, he always tries to wriggle his way out of tricky situations.",Brt
40,"I have a kutti announcement, we are having a party at our place",Ind,"I've a wee announcement, we're havin' a party at our spot.",Irs
41,"Everytime he sends a missed call, I think he never recharges his phone.",Ind,"Every time he gives a missed call, I reckon he never tops up his phone.",Irs
42,"This watchman keep shouting something or the other, he never keeps quiet.",Ind,"This security guard keeps shouting this, that and the other, he never keeps still.",Saf
43,"These boys don't like to complete their homework, they always disobey teacher and laugh like that only, ",Ind,"These chaps don't fancy doing their homework, they're always giving the teacher lip and they laugh just like that.",Saf
44,"Don't worry about the predicted results, ill try my level best to get something close enough",Ind,"Don't worry about the expected result lah, I'll chiong and try my best to achieve something close enough one.",Sgp
45,I would like to introduce you to my 'would be’,Ind,I want to introduce you to my 'going to be' one.,Sgp
46,"I have a doubt, are you planning on going back home and then return, or come directly with us?",Ind,"Got a question, are ya thinkin' of going back home and then comin' back, or just coming directly with us, mate?",Aus
47,"Very rough fellow, doesn't know how to handle with care.",Ind,"Real rough bloke, doesn't know how to handle with care.",Aus
48,Kindly adjust the car seat. The people in the back can't sit properly,Ind,Would you mind adjusting the car seat? The people in the back can't sit properly.,Brt
49,"Chumma don't act, we know you didn't buy",Ind,"Mate, don't pretend, we know you didn't purchase.",Brt
50,"You don’t need to live here. I could get you into a nicer home. You know – prettier nurses, tea that comes on time.",Brt,"You don't have to be livin' here, sure. I could see to it that you're in a finer house. Y'know - lovelier nurses, a cup of tea that's always prompt.",Irs
51,"She’s the second youngest in the house, after me of course, but the only other real adult apart from mum",Brt,"She's the next to youngest in the house, after meself of course, but the only other proper adult aside from mam.",Irs
52,John They don’t know their arse from their elbow there. They don’t know sod all about music there,Brt,John They don't know their gat from their elbow there. They don't know flip all about music there.,Saf
53,"merger or no merger, and let me say, very hastily at this point, that if you don’t all shout merger, this will be an extremely short pantomime",Brt,"merger or no merger, and let me say, very quickly at this point, that if you don’t all shout merger, this will be a bloody short pantomime",Saf
54,"Aye it's not nice. Lots of druggies, scroungers, you know",Brt,"Alamak, it's not good one. Got a lot of drug kakis, free riders, you understand what I mean?",Sgp
55,Without further ado I’ll let my darling wife Betty and my special daughter Emily do the revealing honours,Brt,"Without any more blabbering, I let my sayang wife Betty and my special daughter Emily do the revealing lah.",Sgp
56,She’s also completely bonkers. Always seems to be worrying about what someone thinks,Brt,She's also completely mad. Always seems to be stressing about what someone reckons.,Aus
57,"Skinny chap with a beard in a de-mob suit, and that knife up there in his kitbag",Brt,"Skinny bloke with a beard in a civvy suit, and that knife up there in his duffle bag",Aus
58,"He fell off the stage at the Wigmore Hall and broke his leg, poor sod. So he offered me the holiday",Brt,"He slipped off the stage at the Wigmore Hall and fractured his leg, poor fellow. So he passed on the holiday to me.",Ind
59,Born and bred with a flat cap and a pint of mild and a job in steelworks,Brt,Brought up wearing a topi and sipping a pint of mild beer with a job in steel factory.,Ind
